Ref No.;Full citation (APA);Person working on it;Abs Justification; Include/Exclude Abstract; Include/Exclude Full;Full txt Justification;Habitat;Habitat_old;Species (Genus);Species (Latin name, first letter capital, e.g. Zostera marina);Focus;Setting;Type of Data;Region according to HELCOM;Latitude;Longitude;Notes (Region);Time scale;Start Year;End Year;Duration;Pressures;Pressures2;Details on Pressures;Effect of Pressures;Effect direction of Pressures;Type of Ecosystem Service;Specify Service;Service details;Describe Service;Are ES Monetary?;Type of Non-Monetary Value;Type of Monetary Value;Monetary Method used;Specific Method (Non-Monetary and Monetary);Specific Unit (Non-Monetary and Monetary);NOTES;Economic Scoring System;Type of Effect on Economy;Natural Scoring System;Type of Effect on Nature;Human Scoring System;Type of Effect on Human;Social Scoring System;Type of Effect on Society;Interaction with other ES;NOTES;Language of Literature;Quality Assessment (0 (bad) - 5 (good));Criterion Used;Value of Criterion;Number of Replicates;NOTES
288;Kraufvelin, P., Salovius, S., Christie, H., Moy, F. E., Karez, R., & Pedersen, M. F. (2006). Eutrophication-induced changes in benthic algae affect the behaviour and fitness of the marine amphipod Gammarus locusta. Aquatic Botany, 84(3), 199?209. https://doi.org/10.1016/j.aquabot.2005.08.008;Reviewer 1 ;about algae affecting amphipods;Include;Include;;Macroalgae;Macroalgae;Fucus;Fucus serratus;nutrients affecting growth of these algae and their use as food;Field;Experiment;Skagerrak;59,616667;10,65;;Present;1997;2001;5;Nutrients;Nutrients;nutrients make algae more palatable to grazers;increased amounts of grazers;positive;Supporting;Food for organisms;Food for organisms;for grazers;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;5;P-Value;<0.05;3 to 4;
307;Bostr”m, C., & Mattila, J. (2005). Effects of isopod grazing: an experimental comparison in temperate (Idotea balthica, Baltic Sea, Finland) and subtropical (Erichsonella attenuata, Gulf of Mexico, U.S.A.) ecosystems. Crustaceana, 78(2), 185?200. https://doi.org/10.1163/1568540054020541;Reviewer 1 ;about seagrass and algae as food for other species;Include;Include;;Seagrass;Other Angiosperms;Ruppia;Ruppia maritima;plants and algae as food;Field;Experiment;Aland Sea;;;numerous locations;Present;1997;1997;1;None;None;;;;Supporting;Food for organisms;Food for organisms;feeding rate;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;P-Value;<0.05;6 to 12;
307;Bostr”m, C., & Mattila, J. (2005). Effects of isopod grazing: an experimental comparison in temperate (Idotea balthica, Baltic Sea, Finland) and subtropical (Erichsonella attenuata, Gulf of Mexico, U.S.A.) ecosystems. Crustaceana, 78(2), 185?200. https://doi.org/10.1163/1568540054020541;Reviewer 1 ;about seagrass and algae as food for other species;Include;Include;;Seagrass;Other Angiosperms;Potamogeton;Potamogeton pectinatus;plants and algae as food;Field;Experiment;Aland Sea;;;numerous locations;Present;1997;1997;1;None;None;;;;Supporting;Food for organisms;Food for organisms;feeding rate;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;P-Value;<0.05;6 to 12;
307;Bostr”m, C., & Mattila, J. (2005). Effects of isopod grazing: an experimental comparison in temperate (Idotea balthica, Baltic Sea, Finland) and subtropical (Erichsonella attenuata, Gulf of Mexico, U.S.A.) ecosystems. Crustaceana, 78(2), 185?200. https://doi.org/10.1163/1568540054020541;Reviewer 1 ;about seagrass and algae as food for other species;Include;Include;;Seagrass;Seagrass;Zostera;Zostera marina;plants and algae as food;Field;Experiment;Aland Sea;;;numerous locations;Present;1997;1997;1;None;None;;;;Supporting;Food for organisms;Food for organisms;feeding rate;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;P-Value;<0.05;6 to 12;
310;Wikstr”m, S. A., & Kautsky, L. (2007). Structure and diversity of invertebrate communities in the presence and absence of canopy-forming Fucus vesiculosus in the Baltic Sea. Estuarine, Coastal and Shelf Science, 72(1?2), 168?176. https://doi.org/10.1016/j.ecss.2006.10.009;Reviewer 1 ;about macroalgae as habitat for other species;Include;Include;;Macroalgae;Macroalgae;Fucus;Fucus vesiculosus;fucus as habitat for other species;Field;Observational;Western Gotland Basin;;;numerous locations;Present;2003;2003;1;Toxins;Toxins;pollution removes fucus;Loss of species important in the food chain from fucus loss;negative;Supporting;Food for organisms;Food for organisms;;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;P-Value;<0.05;5;
374;Salovius, S., & Bonsdorff, E. (2004). Effects of depth, sediment and grazers on the degradation of drifting filamentous algae (Cladophora glomerata and Pilayella littoralis). Journal of Experimental Marine Biology and Ecology, 298(1), 93?109. https://doi.org/10.1016/j.jembe.2003.08.006;Reviewer 1 ;about drift algae affecting macrofauna;Include;Include;;Macroalgae;Macroalgae;Cladophora;Cladophora glomerata;drift algae as habitat and food;Field;Experimental & Observational;Aland Sea;59,918889;22,335833;;Present;1999;1999;1;Nutrients;Nutrients;nutrients making drift algae occur and affect epifauna;fauna use algae for food and for settling;positive;Supporting;Food for organisms;Food for organisms;;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;3;P-Value;<0.05;3;
397;Cervin, G., Lindegarth, M., Viejo, R. M., & berg, P. (2004). Effects of small-scale disturbances of canopy and grazing on intertidal assemblages on the Swedish west coast. Journal of Experimental Marine Biology and Ecology, 302(1), 35?49. https://doi.org/10.1016/j.jembe.2003.09.022;Reviewer 1 ;about macroalgae affecting other species;Include;Include;;Macroalgae;Macroalgae;Ascophyllum;Ascophyllum nodosum;Effects of canopy removal and grazing on this understory algae;Field;Experimental & Observational;Skagerrak;58,876408;11,144565;;Present;1997;1997;1;Physical disturbance;Physical disturbance;ice scouring;ice scouring causes understory assemblage changes;Na;Supporting;Food for organisms;Food for organisms;;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;P-Value;<0.05;3;
411;Pavia, H., Carr, H., & berg, P. (1999). Habitat and feeding preferences of crustacean mesoherbivores inhabiting the brown seaweed Ascophyllum nodosum (L.) Le Jol. and its epiphytic macroalgae. Journal of Experimental Marine Biology and Ecology, 236(1), 15?32. https://doi.org/10.1016/s0022-0981(98)00191-9;Reviewer 1 ;about macroaglae being used by other species;Include;Include;;Macroalgae;Macroalgae;Ascophyllum;Ascophyllum nodosum;How epifauna use algae for food and habitat;Field;Experimental & Observational;Skagerrak;;;numerous locations;Present;1995;1997;3;None;None;;;;Supporting;Food for organisms;Food for organisms;;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;P-Value;<0.05;2 to 5;
437;Paalme, T., Kukk, H., Kotta, J., & Orav, H. (2002). Hydrobiologia, 475/476, 469?476. https://doi.org/10.1023/a:1020364114603;Reviewer 1 ;about decomposition and grazing of macroalgae;Include;Include;;Macroalgae;Macroalgae;Pilayella;Pilayella littoralis;use of algae by epifauna;Field;Experiment;Gulf of Riga;58,369173;22,97864;;Present;2000;2000;1;None;None;;;;Supporting;Food for organisms;Food for organisms;How algae is used as food for epifauna;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;3;P-Value;<0.05;3;
437;Paalme, T., Kukk, H., Kotta, J., & Orav, H. (2002). Hydrobiologia, 475/476, 469?476. https://doi.org/10.1023/a:1020364114603;Reviewer 1 ;about decomposition and grazing of macroalgae;Include;Include;;Macroalgae;Macroalgae;Cladophora;Cladophora glomerata;use of algae by epifauna;Field;Experiment;Gulf of Riga;58,369173;22,97864;;Present;2000;2000;1;None;None;;;;Supporting;Food for organisms;Food for organisms;How algae is used as food for epifauna;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;3;P-Value;<0.05;3;
504;Roth„usler, E., Haavisto, F., & Jormalainen, V. (2017). Is the future as tasty as the present? Elevated temperature and hyposalinity affect the quality of Fucus (Phaeophyceae, Fucales) as food for the isopod Idotea balthica. Marine Biology, 164(11). https://doi.org/10.1007/s00227-017-3237-3;Reviewer 1 ;about macroalgae as food for other species;Include;Include;;Macroalgae;Macroalgae;Fucus;Fucus vesiculosus;climate change making Fucus more palatable for isopods;Lab;Experiment;Bothnian Sea;;;numerous locations, including in the gulf of Finland;Future;2015;2099;85;Temperature and Salinity;Multiple stressors;stress from changing conditions affect algae;Algae becomes more susceptable to grazing;negative;Supporting;Food for organisms;Food for organisms;;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;3;P-Value;<0.05;5 to 10;
521;Gubelit, Y. I., Makhutova, O. N., Sushchik, N. N., Kolmakova, A. A., Kalachova, G. S., & Gladyshev, M. I. (2014). Fatty acid and elemental composition of littoral ?green tide? algae from the Gulf of Finland, the Baltic Sea. Journal of Applied Phycology, 27(1), 375?386. https://doi.org/10.1007/s10811-014-0349-8;Reviewer 1 ;about macroalgae as food for other species;Include;Include;;Macroalgae;Macroalgae;Ulva;Ulva intestinalis;eutrophication changes algal communities to ones that have more nutrients;Lab;Experiment;Gulf of Finland;;;numerous locations;Present;2013;2013;1;Nutrients;Nutrients;nutrients increase cladophera;cladophera is more palatable for fauna than the other algae it replaces;NA;Supporting;Food for organisms;Food for organisms;cladophera is more palatable for fauna than the other algae it replaces;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;3;P-Value;<0.05;6;
521;Gubelit, Y. I., Makhutova, O. N., Sushchik, N. N., Kolmakova, A. A., Kalachova, G. S., & Gladyshev, M. I. (2014). Fatty acid and elemental composition of littoral ?green tide? algae from the Gulf of Finland, the Baltic Sea. Journal of Applied Phycology, 27(1), 375?386. https://doi.org/10.1007/s10811-014-0349-8;Reviewer 1 ;about macroalgae as food for other species;Include;Include;;Macroalgae;Macroalgae;Cladophora;Cladophora glomerata;eutrophication changes algal communities to ones that have more nutrients;Lab;Experiment;Gulf of Finland;;;numerous locations;Present;2013;2013;1;Nutrients;Nutrients;nutrients increase cladophera;cladophera is more palatable for fauna than the other algae it replaces;positive;Supporting;Food for organisms;Food for organisms;cladophera is more palatable for fauna than the other algae it replaces;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;3;P-Value;<0.05;6;
568;Waldeck, P., & Larsson, K. (2013). Effects of winter water temperature on mass loss in Baltic blue mussels: Implications for foraging sea ducks. Journal of Experimental Marine Biology and Ecology, 444, 24?30. https://doi.org/10.1016/j.jembe.2013.03.007;Reviewer 1 ;about mussels in the food web;Include;Include;;Mussel beds;Mussel beds;Mytilus;Mytilus edulis;mussels loose more mass during warmer winters, so less food for ducks;Field;Experimental & Observational;Baltic Sea wide;;;;Present;2010;2012;3;Temperature;Temperature;Temperature increase during winter makes mussels loose mass;Food web effects, especially on mussel feeding ducks;positive;Supporting;Food for organisms;Food for organisms;mussels loose more mass during warmer winters, so less food for ducks;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;P-Value;<0.05;82 to 195;
577;Raddatz, S., Guy-Haim, T., Rilov, G., & Wahl, M. (2016). Future warming and acidification effects on anti-fouling and anti-herbivory traits of the brown alga Fucus vesiculosus(Phaeophyceae). Journal of Phycology, 53(1), 44?58. https://doi.org/10.1111/jpy.12473;Reviewer 1 ;about climate change effects on macroalgae;Include;Include;;Macroalgae;Macroalgae;Fucus;Fucus vesiculosus;Fucus being affected by climate change;Lab;Experiment;Kiel Bay;;;;Future;2013;2100;88;Temperature and Acidification;Multiple stressors;Temperature and Acidification;Warming had effect on grazing rates;NA;Supporting;Food for organisms;Food for organisms;;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;5;P-Value;<0.05;3;
589;Mittermayr, A., Hansen, T., & Sommer, U. (2014). Simultaneous analysis of ?13C, ?15N and ?34S ratios uncovers food web relationships and the trophic importance of epiphytes in an eelgrass Zostera marina community. Marine Ecology Progress Series, 497, 93?103. https://doi.org/10.3354/meps10569;Reviewer 1 ;about the role of seagrass in food webs;Include;Include;;Seagrass;Seagrass;Zostera;Zostera marina;Seagrass as food for other species;Field;Observational;Kiel Bay;54,35;10,15;;Present;2011;2011;1;None;None;;;;Supporting;Food for organisms;Food for organisms;Contribution of stable isotopes from seagrass to higher on the food chain;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;P-Value;<0.05;unknown;
606;Maar, M., & Hansen, J. L. S. (2011). Increasing temperatures change pelagic trophodynamics and the balance between pelagic and benthic secondary production in a water column model of the Kattegat. Journal of Marine Systems, 85(1?2), 57?70. https://doi.org/10.1016/j.jmarsys.2010.11.006;Reviewer 1 ;about climate change affecting filter feeders, probably mussels;Include;Include;;Mussel beds;Mussel beds;Mytilus;Mytilus edulis;Changes to filterfeeding and food web dynamics with climate change;Computational;Modelling;Kattegat;;;;Future;2011;2100;90;Temperature;Temperature;Temperature affecting the food web;Mussels experience food limitation;negative;Supporting;Food for organisms;Food for organisms;Food suppy for mussels, Changes to filterfeeding;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;2;P-Value;<0.05;NA;
610;Korpinen, S., Jormalainen, V., & Ikonen, J. (2008). Selective consumption and facilitation by mesograzers in adult and colonizing macroalgal assemblages. Marine Biology, 154(5), 787?794. https://doi.org/10.1007/s00227-008-0971-6;Reviewer 1 ;about macroaglae as food for grazers;Include;Include;;Macroalgae;Macroalgae;Fucus;Fucus vesiculosus;Algae as food for grazers;Field;Experiment;Aland Sea;59,825798;21,58442;;Present;2004;2004;1;None;None;;;;Supporting;Food for organisms;Food for organisms;Algae as food for grazers;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;P-Value;<0.05;10;
610;Korpinen, S., Jormalainen, V., & Ikonen, J. (2008). Selective consumption and facilitation by mesograzers in adult and colonizing macroalgal assemblages. Marine Biology, 154(5), 787?794. https://doi.org/10.1007/s00227-008-0971-6;Reviewer 1 ;about macroaglae as food for grazers;Include;Include;;Macroalgae;Macroalgae;Fucus;Fucus vesiculosus;Algae as food for grazers;Field;Experiment;Aland Sea;59,825798;21,58442;;Present;2004;2004;1;None;None;;;;Supporting;Food for organisms;Food for organisms;Algae as food for grazers;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;P-Value;<0.05;10;
610;Korpinen, S., Jormalainen, V., & Ikonen, J. (2008). Selective consumption and facilitation by mesograzers in adult and colonizing macroalgal assemblages. Marine Biology, 154(5), 787?794. https://doi.org/10.1007/s00227-008-0971-6;Reviewer 1 ;about macroaglae as food for grazers;Include;Include;;Macroalgae;Macroalgae;Dictosiphon;Dictosiphon foeniculaceus;Algae as food for grazers;Field;Experiment;Aland Sea;59,825798;21,58442;;Present;2004;2004;1;None;None;;;;Supporting;Food for organisms;Food for organisms;Algae as food for grazers;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;P-Value;<0.05;10;
